app_id,helpful,funny,date,is_recommended,hours,user_id,review_id,price_final,discount,positive_ratio,date_release,rating
221100,7,0,2017-04-17,False,0.3,8088013,16122366,45.0,0.0,74,2018-12-13,Mostly Positive
601150,65,9,2019-03-08,False,7.7,10613654,33478462,30.0,0.0,95,2019-03-07,Overwhelmingly Positive
8870,7,2,2020-08-24,False,19.4,2289902,25669626,30.0,0.0,93,2013-03-25,Very Positive
221100,11,2,2016-01-23,False,0.6,13028588,33538746,45.0,0.0,74,2018-12-13,Mostly Positive
306130,4,2,2016-11-22,False,0.7,11834711,5349334,20.0,0.0,83,2017-05-22,Very Positive
221100,10,0,2017-08-12,False,503.6,77961,5683493,45.0,0.0,74,2018-12-13,Mostly Positive
1091500,11,0,2020-12-12,False,83.0,7535208,5363890,60.0,0.0,80,2020-12-09,Very Positive
1091500,22,2,2020-12-11,False,2.5,5409313,4263600,60.0,0.0,80,2020-12-09,Very Positive
239140,11,4,2015-01-28,False,1.6,11539531,15704819,30.0,0.0,95,2016-04-21,Overwhelmingly Positive
1240440,6,9,2021-11-15,False,0.4,2492991,33797533,0.0,0.0,70,2021-11-15,Mostly Positive
629760,4,0,2022-06-22,False,1.1,14258046,13311734,29.99,0.0,81,2019-04-29,Very Positive
552990,75,32,2019-02-22,False,265.1,7742691,23897363,0.0,0.0,76,2017-11-15,Mostly Positive
570,11,0,2017-08-29,False,495.1,11499345,1802412,0.0,0.0,82,2013-07-09,Very Positive
578080,421,82,2018-04-14,False,280.1,5935021,26889893,0.0,0.0,57,2017-12-21,Mixed
346110,39,0,2016-02-01,False,4.0,2368397,4579631,15.0,0.0,83,2017-08-27,Very Positive
552520,4,6,2018-04-06,False,39.5,9256398,7741138,60.0,0.0,80,2018-03-26,Very Positive
1599340,6,0,2022-02-13,False,177.1,4573630,2898724,0.0,0.0,71,2022-02-11,Mostly Positive
391540,4,0,2017-06-27,False,3.2,11715089,7797937,10.0,0.0,96,2015-09-15,Overwhelmingly Positive
236390,223,22,2015-03-02,False,117.1,10431275,15904341,0.0,0.0,75,2013-08-15,Mostly Positive
1332010,5,0,2022-07-25,False,3.7,5659810,33895335,30.0,0.0,97,2022-07-19,Overwhelmingly Positive
1794680,6,0,2022-10-13,False,5.2,5316585,1850241,5.0,0.0,98,2022-10-20,Overwhelmingly Positive
1145360,5,3,2021-12-09,False,16.1,11580029,20154253,25.0,0.0,98,2020-09-17,Overwhelmingly Positive
489830,5,0,2018-04-14,False,0.9,5283136,1801414,40.0,0.0,94,2016-10-27,Very Positive
362890,28,9,2020-03-29,False,560.5,4181280,9530442,20.0,0.0,95,2020-03-06,Overwhelmingly Positive
412020,11,0,2021-09-05,False,1.5,7142833,7285704,30.0,0.0,89,2020-02-14,Very Positive
394360,22,45,2021-04-22,False,376.3,9013548,24638283,40.0,0.0,92,2016-06-06,Very Positive
306130,8,2,2019-03-28,False,0.4,7861776,4587173,20.0,0.0,83,2017-05-22,Very Positive
444200,16,2,2020-05-02,False,49.6,7245516,20269429,0.0,0.0,80,2016-11-09,Very Positive
262060,22,4,2015-02-09,False,4.4,6169061,8001324,25.0,0.0,91,2016-01-19,Very Positive
232090,8,0,2015-09-06,False,10.7,11659284,8601947,30.0,0.0,89,2016-11-18,Very Positive
251570,327,15,2019-06-22,False,77.7,5972116,870021,25.0,0.0,88,2013-12-13,Very Positive
1599340,11,6,2022-05-25,False,44.4,5435855,1051738,0.0,0.0,71,2022-02-11,Mostly Positive
1172620,5,5,2021-08-29,False,120.9,4910330,22689733,40.0,0.0,90,2020-06-03,Very Positive
